t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	_m	n_xa	n_ya
3.2499999999999747	737.0300425925979	167.50000000000185	1596.5060737462875	4999.999997198904	-1.9398014857024424e-09	30000.0	10.0	2.299506174671919	-0.02181661564992912	0.05216117245299635	0.5675313948407972	0.010266596989973646	0.018089919048185188	7.148293984929723e-05	0.27083333333331794	15.597346444982247	0.9999999830315064
3.2599999999999745	738.5596197679349	167.40000000000185	1603.8763741722134	4999.9999971846055	-1.942059250913288e-09	30000.0	10.0	2.3042783982662853	-0.02181661564992912	0.052121890826917684	0.5666639951358193	0.010249715904928429	0.018087819224286084	7.29993382099245e-05	0.27166666666665124	15.599776080352495	1.0000001905408995
3.2699999999999743	740.0894352091092	167.30000000000186	1611.2619703698929	4999.999997170263	-1.9167590874316044e-09	30000.0	10.0	2.3090513652411517	-0.02181661564992912	0.05208260920083901	0.5657964620815458	0.01023285671371245	0.018085755920187484	7.451029012784246e-05	0.2724999999999845	15.602218384011069	1.000000287717399
3.2799999999999736	741.6194901584529	167.20000000000186	1618.6628647219845	4999.999997156077	-1.8786347243906603e-09	30000.0	10.0	2.313825079472553	-0.02181661564992912	0.05204332757476034	0.5649287949745195	0.010216019415649284	0.01808372932399395	7.60157885563473e-05	0.2733333333333178	15.604673482642415	1.0000002738051217
3.289999999999974	743.1497858707228	167.10000000000187	1626.0790596235688	4999.999997142145	-1.8424286776235115e-09	30000.0	10.0	2.318599544875287	0.0	0.051473078206347125	0.5635359853192669	0.012245760731807241	0.02173021963250404	-0.0009881888103159741	0.2741666666666511	15.61013437598141	0.9999996111894138
3.2999999999999736	744.6806171136856	167.00000000000188	1633.510557482276	4999.999997128452	-1.893736360238423e-09	30000.0	10.0	2.3233756811137662	0.0	0.05143363013270032	0.562669574879727	0.012221268070826932	0.021720150895735358	-0.0009826572554258316	0.2749999999999844	15.612617897158325	0.9999997122493478
3.3099999999999734	746.211691906883	166.90000000000188	1640.9573636534128	4999.99999711435	-1.9316300541052398e-09	30000.0	10.0	2.328152577219856	0.0	0.051394182059053516	0.5618030283951845	0.012196796182454013	0.021710093335193845	-0.0009771291572307542	0.2758333333333177	15.615114556547349	0.9999994817349208
3.319999999999973	747.743011538732	166.80000000000192	1648.4194805724815	4999.999997099936	-1.999740005931497e-09	30000.0	10.0	2.332930237213373	0.0	0.0513548172091908	0.5609363463694247	0.01217236478562305	0.02170008212947304	-0.000971606093493994	0.27666666666665096	15.617624397883413	1.0000005367100746
3.329999999999973	749.2745773019432	166.70000000000192	1655.896910687869	4999.999997084983	-1.929350476749533e-09	30000.0	10.0	2.3377086651275194	0.0	0.05131536913554399	0.5600695256063051	0.012147934396508213	0.02169004711219992	-0.0009660849105803707	0.2774999999999842	15.62014771815264	0.9999996378116824
3.3399999999999728	750.8063905183346	166.6000000000019	1663.3896564608883	4999.999997070527	-1.9767543814472723e-09	30000.0	10.0	2.3424878650863485	0.0	0.051276004285681256	0.5592025678208578	0.012123544435428294	0.02168005859249221	-0.0009605687529426588	0.2783333333333175	15.622684477552955	1.000000022575432
3.349999999999973	752.3384525058466	166.5000000000019	1670.8977203660716	4999.999997055685	-1.9738056937068985e-09	30000.0	10.0	2.3472678412017585	0.0	0.05123663943581852	0.5583354710363607	0.012099175168933732	0.02167008151295799	-0.0009550560491486807	0.2791666666666508	15.62523488958734	1.0000000696192175
3.3599999999999723	753.8707646033397	166.4000000000019	1678.42110489113	4999.999997040835	-1.9647309043346113e-09	30000.0	10.0	2.3520485976509566	0.0	0.051197274585955785	0.5574682344961686	0.01207482658950911	0.021660115935434703	-0.0009495468022482852	0.2799999999999841	15.627799083842847	0.9999997767849164
3.3699999999999712	755.4033281623881	166.30000000000192	1685.9598125371633	4999.999997026024	-1.993767607993377e-09	30000.0	10.0	2.3568301386508037	0.0	0.051157951347985085	0.5566008580479667	0.01205050849144172	0.02165017950871221	-0.0009440417831390713	0.2808333333333174	15.630377148152508	0.9999999546464028
3.3799999999999715	756.9361445431829	166.20000000000192	1693.5138458187869	4999.999997010963	-1.9996554143955717e-09	30000.0	10.0	2.361612468445036	0.0	0.051118628110014386	0.5557333403097598	0.012026211040723959	0.02164025472004375	-0.0009385402191553448	0.28166666666665063	15.632969255071846	0.9999997895635552
3.389999999999972	758.4692151228314	166.1000000000019	1701.083207264219	4999.999996995827	-2.0269189633149046e-09	30000.0	10.0	2.3663955913301846	0.0	0.051079346483935716	0.5548656811130187	0.012001944006989377	0.021630359230209336	-0.0009330428733343397	0.28249999999998393	15.635575493235187	1.0000000933640307
3.3999999999999715	760.0025412871374	166.0000000000019	1708.6678994154474	4999.999996980454	-2.0148474335324043e-09	30000.0	10.0	2.371179511629899	0.0	0.05104006485785705	0.5539978790630449	0.01197769758052708	0.021620475516593126	-0.0009275489806944887	0.2833333333333172	15.638196036016929	1.0000000511580138
3.4099999999999717	761.5361244389012	165.90000000000194	1716.2679248283189	4999.999996965141	-2.0082462880226952e-09	30000.0	10.0	2.375964233720872	0.0	0.05100078323177838	0.5531299333670443	0.011953471753388591	0.0216106036435684	-0.0009220585440859328	0.2841666666666505	15.64083101502941	0.9999996607880609
3.4199999999999715	763.0699659938334	165.80000000000194	1723.8832860727082	4999.999996949848	-2.0519281654106004e-09	30000.0	10.0	2.380749762020068	0.0	0.05096158482948378	0.5522618444390638	0.011929285998888602	0.02160077890408174	-0.0009165730631496984	0.2849999999999838	15.643480477958347	1.0000005518369262
3.4299999999999713	764.6040673723263	165.70000000000198	1731.5139857326462	4999.99999693419	-1.9810084354638503e-09	30000.0	10.0	2.3855361009590443	0.0	0.05092230320340512	0.5513936090463102	0.01190510132179977	0.02159093091846099	-0.0009110895392341293	0.28583333333331706	15.646144725953212	0.9999994599221526
3.43999999999997	766.1384300242884	165.60000000000196	1739.1600264063695	4999.999996919043	-2.050277677528422e-09	30000.0	10.0	2.3903232550614892	0.0	0.05088310480111051	0.5505252287958506	0.011880956652029291	0.021581130219983185	-0.0009056109608830498	0.2866666666666504	15.648823723151104	0.9999996476287256
3.4499999999999704	767.6730553961359	165.50000000000196	1746.8214107066126	4999.999996903335	-2.09538155983599e-09	30000.0	10.0	2.395111228840134	0.0	0.05084390639881591	0.549656701656098	0.011856832500014559	0.021571341647050428	-0.0009001358339874931	0.2874999999999837	15.651517687207049	0.9999994810584358
3.45999999999997	769.2079449556137	165.40000000000197	1754.4981412605734	4999.99999688725	-2.161673821279277e-09	30000.0	10.0	2.3999000268742945	0.0	0.050804791220305366	0.5487880280045564	0.011832748240706535	0.02156160053952251	-0.0008946656267572138	0.2883333333333169	15.654226667459138	1.0000005948400243
3.46999999999997	770.74310017531	165.30000000000197	1762.1902207101298	4999.9999968706215	-2.0858375280762503e-09	30000.0	10.0	2.404689653758385	0.0	0.05076559281801076	0.5479192045931691	0.011808665074545636	0.021551836430543786	-0.0008891974028853463	0.28916666666665025	15.656950966796055	0.999999714507346
3.4799999999999702	772.2785225575	165.20000000000198	1769.8976517118826	4999.999996854546	-2.122162556926188e-09	30000.0	10.0	2.4094801141794804	0.0	0.050726477639500216	0.5470502329851455	0.011784621735042964	0.021542119945249998	-0.0008837340881914125	0.2899999999999835	15.65969055100365	1.0000001127416778
3.4899999999999696	773.8142136011281	165.10000000000196	1777.620436937458	4999.999996838157	-2.1078462430313693e-09	30000.0	10.0	2.4142714128142067	0.0	0.050687362460989684	0.5461811111263253	0.011760598830304636	0.02153241587950951	-0.0008782742196693233	0.2908333333333168	15.662445639472654	1.0000001506005436
