M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-5.2	-2.8	0.107672578	-0.33407379	0.140266818	-0.326025914	0.490567848	0.063879791
3.5	-5.2	-1.6	0.108112551	-0.199098308	0.127167093	-0.194241367	0.43834388	0.062980028
3.5	-5.2	-0.4	0.110036672	-0.069891444	0.121968785	-0.067763905	0.394015013	0.063230731
3.5	-5.2	0.8	0.111805485	0.061047059	0.122712301	0.060473098	0.346607349	0.064514268
3.5	-5.2	2	0.113496645	0.192851383	0.126426731	0.189589871	0.297660287	0.066314223
3.5	-5.2	3.2	0.11688004	0.335158616	0.141802359	0.32862531	0.237045216	0.066592773
3.5	-5.2	4.4	0.120502985	0.482732283	0.161280227	0.472501538	0.171219935	0.066703639
3.5	-5.2	5.6	0.124605031	0.64083882	0.188962575	0.626059346	0.094974232	0.066479135
3.5	-5.2	6.8	0.129446172	0.815525812	0.226894932	0.794722807	0.002277538	0.066791709
3.5	-5.2	8	0.134656861	0.998503031	0.269952295	0.970939094	-0.098644653	0.067372822
3.5	-5.2	9.2	0.140882031	1.203292357	0.330068082	1.165746873	-0.220777076	0.068440873
3.5	-5.2	10.4	0.147396608	1.412596823	0.395942391	1.363674497	-0.346237063	0.069337735
3.5	-5.2	11.6	0.154489998	1.630931569	0.47333374	1.567841812	-0.478352176	0.069892217
3.5	-5.2	12.8	0.162210768	1.854611194	0.562177774	1.773918187	-0.611617537	0.070151062
3.5	-5.2	14	0.170245229	2.080963257	0.656748149	1.980949091	-0.745458023	0.070262087
3.5	-5.2	15.2	0.179143113	2.314082276	0.76863632	2.188603216	-0.880933592	0.070043373
3.5	-5.2	16.4	0.188291333	2.548866771	0.88620525	2.395562388	-1.016501034	0.069802446
3.5	-5.2	17.6	0.197940224	2.786982215	1.015135698	2.601131653	-1.152252223	0.069517096
3.5	-5.2	18.8	0.208072447	3.028451312	1.155519663	2.80465741	-1.290172492	0.069193323
3.5	-5.2	20	0.218446337	3.271597236	1.301630386	3.007161413	-1.429177301	0.06885034
3.5	-4.4	-10	0.119563045	-1.316058222	0.369960831	-1.269237628	0.973030099	0.067555645
3.5	-4.4	-8.8	0.115991007	-1.126069922	0.311162022	-1.089288043	0.849397921	0.067452819
3.5	-4.4	-7.6	0.112867248	-0.942054737	0.257744344	-0.91424595	0.734547184	0.067275121
3.5	-4.4	-6.4	0.110640048	-0.769985784	0.215088924	-0.749018838	0.637259331	0.06694768
3.5	-4.4	-5.2	0.10912846	-0.610456673	0.181912449	-0.594870864	0.556844529	0.066245034
3.5	-4.4	-4	0.107974678	-0.457197482	0.153475446	-0.44626246	0.484866252	0.065354786
3.5	-4.4	-2.8	0.107672578	-0.319859703	0.137071971	-0.312236419	0.428694734	0.063879791
3.5	-4.4	-1.6	0.108112551	-0.185424452	0.124603468	-0.180893867	0.376470767	0.062980028
3.5	-4.4	-0.4	0.110036672	-0.056794259	0.12000491	-0.054918293	0.3321419	0.063230731
3.5	-4.4	0.8	0.111805485	0.073660484	0.121314917	0.072888442	0.284734236	0.064514268
3.5	-4.4	2	0.113496645	0.205027501	0.125579207	0.201610757	0.235787174	0.066314223
3.5	-4.4	3.2	0.11688004	0.347229896	0.141479427	0.340554868	0.175172103	0.066592773
3.5	-4.4	4.4	0.120502985	0.494809778	0.161484014	0.484441246	0.109346821	0.066703639
3.5	-4.4	5.6	0.124605031	0.653144633	0.189697337	0.638212159	0.033101119	0.066479135
3.5	-4.4	6.8	0.129446172	0.828196501	0.228183011	0.807205186	-0.059595576	0.066791709
3.5	-4.4	8	0.134656861	1.011606874	0.27180486	0.98380927	-0.160517766	0.067372822
3.5	-4.4	9.2	0.140882031	1.216904524	0.33252757	1.179047294	-0.28265019	0.068440873
3.5	-4.4	10.4	0.147396608	1.42672012	0.399023488	1.377396133	-0.408110176	0.069337735
3.5	-4.4	11.6	0.154489998	1.645571609	0.477065823	1.581966602	-0.540225289	0.069892217
3.5	-4.4	12.8	0.162210768	1.869729052	0.56658494	1.788381902	-0.673490651	0.070151062
3.5	-4.4	14	0.170245229	2.096539472	0.661842448	1.995719617	-0.807331136	0.070262087
3.5	-4.4	15.2	0.179143113	2.330055452	0.774443183	2.203579581	-0.942806705	0.070043373
3.5	-4.4	16.4	0.188291333	2.565215572	0.892729435	2.410709828	-1.078374148	0.069802446
3.5	-4.4	17.6	0.197940224	2.803663971	1.022386719	2.61638064	-1.214125337	0.069517096
